train_loss,train_accuracy,test_loss,test_accuracy,long_loss,long_accuracy
0.048593774,0.6269437,0.043253068,0.6690469,0.060345724,0.55591875
0.052604947,0.60957193,0.07387047,0.3951094,0.07690075,0.30068436
0.06521605,0.44376555,0.060123183,0.4784844,0.06765322,0.3750281
0.055601172,0.5325906,0.052901432,0.5644844,0.06458635,0.4075125
0.05126235,0.5721812,0.050307665,0.5854219,0.06454457,0.42001873
0.049424104,0.5870656,0.049009565,0.58634377,0.06359825,0.42505
0.048300818,0.60137194,0.047819424,0.60845315,0.06236651,0.45043123
0.04724832,0.6111719,0.04677825,0.6111875,0.06268781,0.47828123
0.045777403,0.62493753,0.044391662,0.63832814,0.06028375,0.5077656
0.04184288,0.66775304,0.039111294,0.70120317,0.046936013,0.62773126
0.046308536,0.66108125,0.061277222,0.5463438,0.06248511,0.51397496
0.045146074,0.6621968,0.039451193,0.7103594,0.058959607,0.60762185
0.041056104,0.69124067,0.040384036,0.6992813,0.045361392,0.63983124
0.037755214,0.7192813,0.038413666,0.71157813,0.05089209,0.6228875
0.040016457,0.7092094,0.04279291,0.6759219,0.054533157,0.5635656
0.040029798,0.69846255,0.036149457,0.7377969,0.0498165,0.6456531
0.03641451,0.73805016,0.034805257,0.7534219,0.045754347,0.6833531
0.035937704,0.7437718,0.03435263,0.75706255,0.044621184,0.7029344
0.03416474,0.7604062,0.032443896,0.7730469,0.03462354,0.76794684
